id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,avg_episode_runtime,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage
66732,Stranger Things,2016-07-15,489.9853,8.6,20366,Ended,False,5,42,"Sci-Fi & Fantasy, Mystery, Action & Adventure",Scripted,en,US,,3477.0,21.0,"monster, small town, indiana, usa, experiment, halloween",2025-12-31,TV-14,tt4574334,"Ross Duffer, Matt Duffer",https://www.netflix.com/title/80057281
308482,Taskaree: The Smuggler's Web,2026-01-14,99.6134,7.3,3,Returning Series,True,1,7,"Crime, Mystery, Drama",Scripted,hi,IN,,7.0,7.0,,2026-01-14,TV-MA,tt35335046,Neeraj Pandey,https://www.netflix.com/title/81406373
259731,HIS & HERS,2026-01-08,84.3181,7.006,154,Ended,False,1,6,"Drama, Crime, Mystery",Miniseries,en,US,,13.0,13.0,"loss of loved one, detective, based on novel or book, dementia, bullying",2026-01-08,TV-MA,tt33035373,William Oldroyd,https://www.netflix.com/title/81662954
250505,Agatha Christie's Seven Dials,2026-01-15,79.0975,6.28,75,Ended,False,1,3,"Drama, Mystery",Scripted,en,GB,,6.0,6.0,"based on novel or book, clock, 1920s, thriller",2026-01-15,TV-14,tt31974288,Chris Chibnall,https://www.netflix.com/title/81314952
63174,Lucifer,2016-01-25,78.0905,8.437,15263,Ended,False,6,93,"Crime, Sci-Fi & Fantasy",Scripted,en,US,53.5,3649.0,1594.0,"based on comic, los angeles, california, devil, lapd",2021-09-10,TV-14,tt4052886,Tom Kapinos,https://www.netflix.com/title/80057918
4656,Raw,1993-01-11,78.0036,6.8,348,Returning Series,True,34,1709,Reality,Scripted,en,US,130.0,12063.0,9.0,"wrestling, superstar, sports entertainment",2026-01-12,TV-14,tt0185103,Vince McMahon,https://www.netflix.com/title/81788927
15226,CID,1998-01-21,74.4692,5.7,27,Returning Series,True,2,1651,"Action & Adventure, Crime, Drama, Mystery",Scripted,hi,IN,45.0,10227.0,38.0,"detective, investigation, murder, justice",2025-12-14,TV-14,tt0401916,Brijendra Pal Singh,https://www.sonyliv.com/shows/cid-1700000196
71912,The Witcher,2019-12-20,69.8935,7.951,6501,Returning Series,True,4,32,"Drama, Action & Adventure",Scripted,en,US,,2224.0,83.0,"based on novel or book, monster, mutant, magic, mutation",2025-10-30,TV-MA,tt5180504,Lauren Schmidt Hissrich,https://www.netflix.com/title/80189685
229891,Can This Love Be Translated?,2026-01-16,66.6981,9.273,22,Ended,False,1,12,"Drama, Comedy",Scripted,ko,KR,,5.0,5.0,"romcom, calm, cheerful, producer female lead, interpreter male lead",2026-01-16,TV-MA,tt30293074,"Hong Jeong-eun, Hong Mi-ran, Yoo Young-eun",https://www.netflix.com/title/81697769
78191,You,2018-09-09,56.1896,8.021,3772,Ended,False,5,50,"Mystery, Crime, Drama",Scripted,en,US,,2691.0,272.0,"new york city, based on novel or book, jealousy, infidelity, cheating",2025-04-24,TV-MA,tt7335184,"Greg Berlanti, Sera Gamble",https://www.netflix.com/title/80211991
91239,Bridgerton,2020-12-25,55.3259,8.068,3093,Returning Series,True,6,32,Drama,Scripted,en,US,,1853.0,587.0,"based on novel or book, society, marriage, love, romance",2024-06-13,TV-MA,tt8740790,Chris Van Dusen,https://www.netflix.com/title/80232398
93405,Squid Game,2021-09-17,55.0214,7.858,17087,Ended,False,3,22,"Action & Adventure, Mystery, Drama",Scripted,ko,KR,,1587.0,208.0,"secret organization, challenge, survival, fictional game show, cruelty",2025-06-27,TV-MA,tt10919420,Hwang Dong-hyuk,https://www.netflix.com/title/81040344
